name,artist,country
My Generation,The Who,Великобритания
London Calling,The Clash,Великобритания
Hound Dog,Элвис Пресли,США
Hey Jude,The Beatles,Великобритания
Good Vibrations,The Beach Boys,США
(I Can’t Get No) Satisfaction,The Rolling Stones,Великобритания
Heartbreak Hotel,Элвис Пресли,США
Like a Rolling Stone,Боб Дилан,США
What’d I Say,Рэй Чарльз,США
Heroes,Дэвид Боуи,Великобритания
Johnny B. Goode,Чак Берри,США
One,U2,Ирландия
A Change Is Gonna Come,Сэм Кук,США
Purple Haze,The Jimi Hendrix Experience,Великобритания
Tutti Frutti,Литл Ричард,США
Stairway to Heaven,Led Zeppelin,Великобритания
Let’s Stay Together,Эл Грин,США
Family Affair,Sly & the Family Stone,США
Papa’s Got a Brand New Bag,Джеймс Браун,США
Your Song,Элтон Джон,Великобритания
Mississippi,Боб Дилан,США
Up on the Roof,The Drifters,США
