name,artist,year,producer,genre,language,length,label
Like a Rolling Stone,Боб Дилан,1965,Том Уилсон,"фолк-рок",английский,06:13,Columbia Records
Johnny B. Goode,Чак Берри,1958,"Леонард Чесс,Фил Чесс",рок-н-ролл,американский английский,2:40,Chess
Good Vibrations,The Beach Boys,1966,Брайан Уилсон,"психоделический рок,арт-поп,эйсид-рок,психоделический поп,авант-поп,R&B,",английский,3:39,Capitol
A Change Is Gonna Come,Сэм Кук,1964,,соул,английский,3:12,RCA Victor
My Generation,The Who,1965,,"рок,хард-рок,пауэр-поп",английский,3:18,Brunswick
What’d I Say,Рэй Чарльз,1959,"Ахмет Эртегюн,Джерри Векслер",соул,английский,5:04,Atlantic
Yesterday,The Beatles,1965,Джордж Мартин,"чеймбер-поп",английский,2:03,Capitol Records
Blowin’ in the Wind,Боб Дилан,1963,,"Фолк,Фолк,Фолк","английский,английский,английский",2 мин. 48 сек.,Columbia Records
Respect,Арета Франклин,1967,Джерри Векслер,соул,,2:29,Atlantic
Hey Jude,The Beatles,1968,Джордж Мартин,"Рок,поп,поп-рок",английский,7:08,Apple Records
(I Can’t Get No) Satisfaction,The Rolling Stones,1965,Эндрю Луг Олдэм,"Блюз-рок,,хард-рок,",английский,3:44,London
In My Life,The Beatles,1965,Джордж Мартин,"Барокко-поп,,поп-рок,",английский,2:28,EMI
Be My Baby,The Ronettes,1963,Фил Спектор,"поп,ритм-энд-блюз",,3 мин. 4 сек.,Philles Records
Whole Lotta Love,Led Zeppelin,1969,Джимми Пейдж,"блюз-рок,хард-рок,психоделический рок",английский,5:33 (альбомная версия),Atlantic Records
Imagine,Джон Леннон,1971,"Фил Спектор,Джон Леннон,Йоко Оно","пиано-баллада,софт-рок",английский,3:01,Parlophone
What’s Going On,Марвин Гэй,1971,Марвин Гэй,"соул,фанк",,3:40,Tamla
Will You Love Me Tomorrow,The Shirelles,1960,,"R&B,диско",английский,2:43,Scepter
Papa Was a Rollin’ Stone,The Temptations,1972,,"психоделический соул,,",английский,6:54 ,Gordy Records
Love Will Tear Us Apart,Joy Division,1980,Мартин Хэннет,"постпанк,готик-рок,синтипоп,новая волна",английский,3:25,Factory
Free Bird,Lynyrd Skynyrd,1973,Эл Купер,южный рок,,9:06 ,MCA
Rehab,Эми Уайнхаус,2007,Марк Ронсон,Соул,английский,3:36,Island
Wichita Lineman,Глен Кэмпбелл,1968,,,,,
Knockin’ on Heaven’s Door,Боб Дилан,1973,Гордон Кэрролл,фолк-рок,английский,2:32,Columbia
Higher Ground,Стиви Уандер,1973,Стиви Уандер,"фанк,,,фанк-метал,,","английский,английский",3:10 (сингл-версия),Motown Records
1999,Принс,1982,Принс,"фанк,,звучание Миннеаполиса,",английский,6:22 ,Warner Bros.
Hallelujah,Джефф Бакли,1994,Джефф Бакли,"фолк-рок,госпел",английский,4:36,Columbia Records
He’s a Rebel,The Crystals,1962,Фил Спектор,рок-н-ролл,английский,2:31,Philles
Smells Like Teen Spirit,Nirvana,1991,Бутч Виг,"гранж,альтернативный рок,хард-рок",английский,05:01 ,DGC Records
Sunday Bloody Sunday,U2,1983,Стив Лиллиуайт,"постпанк,",английский,4:40,Island
Ziggy Stardust,Дэвид Боуи,1972,"Дэвид Боуи,Кен Скотт",глэм-рок,,3:13,RCA Records
Ooo Baby Baby,The Miracles,1965,Смоки Робинсон,,,,Motown Records
You Are the Sunshine of My Life,Стиви Уандер,1972,Стиви Уандер,"соул,поп-музыка",,2:58,Tamla
Da Ya Think I’m Sexy?,Род Стюарт,1978,Том Дауд,"диско,новая волна",английский,5:31 (альбомн. вер.),Warner Bros.
One More Time,Daft Punk,2000,Daft Punk,французский хаус,,5:20,Virgin
Seven Nation Army,The White Stripes,2003,Джек Уайт,"гаражный рок,альтернативный рок",английский,3:52,XL
In Dreams,Рой Орбисон,1963,,"кантри,поп",английский,2:48,Monument
Like a Prayer,Мадонна,1989,"Мадонна,Патрик Леонард",поп-рок,английский,5:41,Sire
I’ll Take You There,The Staple Singers,1972,,,,,Columbia Records
Take Me Out,Franz Ferdinand,2004,,"инди-рок,дэнс-панк,постпанк-ривайвл,гаражный рок,арт-рок",,,Domino
Wish You Were Here,Pink Floyd,1975,Pink Floyd,"прогрессивный рок",английский,5:40,Harvest
School’s Out,Элис Купер,1972,Боб Эзрин,"хард-рок,глэм-рок",английский,3:26,Warner Bros. Records
Many Rivers to Cross,Джимми Клифф,1969,Джимми Клифф,"Регги,госпел,регги",,2:44,Trojan Records
Help Me,Джони Митчелл,1974,Джони Митчелл,,,,Asylum
Don’t Let Me Be Misunderstood,The Animals,1965,,"соул,джаз,Блюз-рок","английский,английский",02:59,Philips
The End,The Doors,1967,Пол Ротшильд,"психоделический рок,рага-рок,арт-рок,прогрессивный рок,spoken word",английский,11:40,Elektra Records
Beautiful Day,U2,2000,"Даниэль Лануа,Брайан Ино",Рок,,4:06,Island Records
Beat It,Майкл Джексон,1982,Куинси Джонс,"хард-рок,дэнс-рок,ритм-н-блюз",английский,4:18,Epic Records
Alison,Элвис Костелло,1977,Ник Лоу,,,,
Wild Horses,The Rolling Stones,1971,Джимми Миллер,"Кантри-рок,фолк-рок",английский,5:42,Rolling Stones Records
Jim Dandy,Лаверн Бейкер,1956,"Ахмет Эртегюн,Джерри Векслер",,,,
Runaround Sue,Дион,1961,,"ду-воп,рок-н-ролл,",английский,2:41,Laurie Records
Got My Mojo Working,Мадди Уотерс,1957,"Леонард Чесс,Фил Чесс,Вилли Диксон","блюз,блюз",,2:37,Baton
Unchained Melody,The Righteous Brothers,1965,Фил Спектор,Голубоглазый соул,английский,3,Philles
Highway 61 Revisited,Боб Дилан,1965,,"фолк-рок,гаражный рок,",английский,3:30,Columbia
Complete Control,The Clash,1979,Ли Перри,панк-рок,,3:10,CBS
That’s the Way of the World,"Earth, Wind and Fire",1975,Морис Уайт,,,,
The Letter,The Box Tops,1967,,,,,
All You Need Is Love,The Beatles,1967,Джордж Мартин,"поп-музыка,психоделический поп",английский,3:44,Parlophone
The Wind Cries Mary,The Jimi Hendrix Experience,1967,Чес Чендлер,"Рок-баллада,",английский,3,Track
Summer in the City,The Lovin’ Spoonful,1966,,рок,английский,2 ,Kama Sutra Records
Just My Imagination (Running Away with Me),The Temptations,1971,,,,,
Roxanne,The Police,1979,The Police,"новая волна,регги-рок",,3:14,A&M Records
Tiny Dancer,Элтон Джон,1971,,"барокко-поп,симфонический рок",английский,6:12,Uni
Baby I Need Your Loving,The Four Tops,1964,"Брайан Холланд, Ламонт Дозье, Эдди Холланд",,,,
I Know You Got Soul,Eric B. & Rakim,1987,Раким,хип-хоп,,4:46,
New Year’s Day,U2,1983,Стив Лиллиуайт,"рок,пост-панк",английский,5:36 ,Island
Tumbling Dice,The Rolling Stones,1972,Джимми Миллер,блюз-рок,английский,3:45,Rolling Stones Records
Love Me Tender,Элвис Пресли,1956,,"фолк,,рокабилли,,поп-музыка,",английский,2:41,RCA Records
American Idiot,Green Day,2004,Green Day,"панк-рок,,поп-панк,",английский,2:54,Reprise Records
Beast of Burden,The Rolling Stones,1978,The Glimmer Twins,"блюз-рок,соул",,4:24,Rolling Stones Records
Piano Man,Билли Джоэл,1973,,"софт-рок,фолк-рок",английский,5:40 ,Columbia
Smoke on the Water,Deep Purple,1972,Deep Purple,"хард-рок,,хеви-метал,",английский,5:42 ,EMI
Leader of the Pack,The Shangri-Las,1964,"Элли Гринвич,Джефф Барри","поп,Rock","английский,английский",2:49,Red Bird
Kiss,"Принс,The Revolution",1986,"Принс,The Revolution",,,,
Heroin,The Velvet Underground,1967,"Энди Уорхол,Том Уилсон",экспериментальный рок,английский,07:12,Verve
Come as You Are,Nirvana,1991,"Бутч Виг,Nirvana","альтернативный рок,,гранж",,03:39,DGC
I Got You Babe,Сонни и Шер,1965,Сонни Боно,"барокко-поп,регги,синтпоп,даб","английский,английский",3:11,Atco
"William, It Was Really Nothing",The Smiths,1984,,,,,
Pressure Drop,Toots and the Maytals,1973,,,,,
All Apologies,Nirvana,1993,Стив Альбини,"гранж,альтернативный рок",английский,3:50,DGC
"Do Right Woman, Do Right Man",Арета Франклин,1967,Джерри Векслер,"R&B,поп",,3:14,Atlantic
Where Did Our Love Go,The Supremes,1964,"Брайан Холланд, Ламонт Дозье","R&B,поп,ду-воп",английский,2:33,Motown
Welcome to the Jungle,Guns N’ Roses,1987,,"глэм-метал,,,,,,хард-рок,,",английский,,Geffen
Runaway,Дел Шеннон,1961,,"поп-рок,рок-н-ролл",английский,2:20,London
Soul Man,Сэм и Дейв,1967,Айзек Хейз,,,,
Cry Me a River,Джастин Тимберлейк,2002,Тимбалэнд,"Поп,R&B",английский,4:48,Jive
Lady Marmalade,Labelle,1975,Алан Туссен,"соул,диско,фанк,соул,диско,фанк,Данс-поп,диско,R&B,R&B","английский,Кажунский диалект французского языка,английский,Кажунский диалект французского языка,английский,Кажунский диалект французского языка,английский,Кажунский диалект французского языка",3:56,Epic
Into the Mystic,Ван Моррисон,1970,Ван Моррисон,,,,
Keep A-Knockin’,Литл Ричард,1957,,рок-н-ролл,,2:22,Specialty
Lola,The Kinks,1970,,"рок,,фолк-рок,",английский,4:03,Pye
